process_id,process_name,worker_equivalents,shift_start,shift_end,meal_break_minutes,net_hours_per_worker_day,base_hours_per_day,work_nights_per_week,base_hours_per_week,dispatch_work_days,delivery_days,crew_count,crew_roster_work_days,crew_roster_delivery_days,roster_pattern,holiday_early_start_hours,easter_christmas_early_start_hours,comment
P1,PD/grovfordeling,0.5,16:30,01:00,30,8.00,4.00,6,24.00,sunday-friday,monday-saturday,2,wednesday-tuesday,thursday-wednesday,one_week_on_one_week_off,2.00,3.00,Normal bemanning og tidlig oppstart opplyst 2026-04-28
P2,ED/endelig dispatch,3.0,16:30,01:00,30,8.00,24.00,6,144.00,sunday-friday,monday-saturday,2,wednesday-tuesday,thursday-wednesday,one_week_on_one_week_off,2.00,3.00,Normal bemanning og tidlig oppstart opplyst 2026-04-28
